id,tanggal,platform,topik,teks,label
1,2026-04-27,YouTube,MBG,Ga ada gizinya. Yg gemuk yang punya dapur MBG..😂😂,Negatif
2,2026-04-27,YouTube,MBG,Hapus ajalah mgb...lbih bermanfaat kalau smu dan kuliah univ negeri gratis....,Positif
3,2026-04-27,YouTube,MBG,"Salah ,,yg terima. ,5,16 juta sisa nya Anda anda yg dapat bentuk uang,mentah,KKN..tak usah Tipu tipu dosa...dosa..",Negatif
4,2026-04-27,YouTube,MBG,Yang daerah 3 T di Pulau Legundi Pesawaran Lampung sudah 4 bulan selesai dibangun tp sampai saat ini belum beroperasi. Bagaimana disebut memprioritaskan daerah 3T. Padahal masyarakat disana masih dibawah kemiskinan😢. Siswa sudah sgt antusias menanti dapat MBG. Kasihan banget yang seharusnya didahulukan dan prioritas malah tidak mendapatkannya.,Negatif
5,2026-04-27,YouTube,MBG,Di medan sudah stop mbg?,Negatif
6,2026-04-27,YouTube,MBG,"Kinerja buruk Makanan Bergizi para Garong itu fakta, tapi yang muncul justru pembenaran. Tanggung jawab hilang, yang ada hanya kebiasaan menyalahkan. Maka tidak heran setiap kritik dianggap serangan, setiap kegagalan selalu punya kambing hitam. Hari ini menyalahkan keadaan, besok menunjuk orang lain, lusa menciptakan narasi baru untuk menutupi yang lama…. botollll botolll",Negatif
7,2026-04-27,YouTube,MBG,Hentikan maling berkedok gizi,Negatif
8,2026-04-27,YouTube,MBG,Kalau urusan duit semangat bgt para pejabat korup ini,Negatif
9,2026-04-27,YouTube,MBG,Tinggal di audit aja..nanti kelihatan berapa triliun yg udah di korupsi..Krn pejabat yg urus program MBG ini memiliki otak2  koruptor,Negatif
10,2026-04-27,YouTube,MBG,"Mantap, yang penting terus diawasi yang ga beres di evaluasi atau bisa hentikan dan diganti yang lain saja agar tidak ada celah untuk dikorupsi.",Positif
11,2026-04-27,YouTube,MBG,"Hai ...Zulhas ...kalo MBG tetap ditangani Pengusaha dan jumlah masaknya tiap SPPG 3000 sampai 4000 kotak ...pasti MBG gagal 
Dan MBG itu akhirnya jadi ladang KOROPSI  ( ini perintah rakyat pendukung Pragrib ) 

Hai ...Zulhas ...jangan kau bohongi pak Prabowo dng laporan palsu ( asal bapak senang )",Negatif
12,2026-04-27,YouTube,MBG,"Terjebak pd kuantitas penerima, bkn kualitas mbg-nya😄",Negatif
13,2026-04-27,YouTube,MBG,"Hai...Zulhas 
Kau ini Tuli...kau ini Buta 
Kami rakyat pendukung Pragrib ,sangat mendukung MBG ...tapi pelaksanaannya yg salah dan tidak baik 

Hai ..Zulhas
MBG sebaiknya ditangani UMKM ( bukan Pengusaha ) 
Berikan MBG ke UMKM ( warung Makan ) 
Dan setiap warung Makan hanya "" Menyiapkan 250 kotak makan "" 
Kalo ini di lakukan pasti MBG berhasil 
Dan MBG jangan sok Bergizi 
Justru makanan yg dimasak tidak cocok dng lidah orang Indonesia 

Ingat Zulhas : Bergizi itu yg penting 4 Sehat lima sempurna ( makan lauk ikan , kadang lauk telur , kadang Tahu Tempe ) itu sudah cukup ...ditambah buah dan Susu kalo ada",Negatif
14,2026-04-27,YouTube,MBG,"Ini manusia ternyata msh ada, julhas hmm...",Negatif
15,2026-04-27,YouTube,MBG,"Apanya yang gratis...
Dananya hasil dari pajak rakyat 😂😂😂",Negatif
16,2026-04-27,YouTube,MBG,para maling pasti suka,Positif
17,2026-04-27,YouTube,MBG,Pa tolong MBG kontrol. Supaya amanah..jangan jadi ladang korupsi..,Negatif
18,2026-04-27,YouTube,MBG,"Keangkuhan para pejabat negara yg memaksakan program MBG adalah contoh kehancuran Bangsa Indonesia tinggal menunggu waktu, Buat politik adu domba malah digaungkan... .Liat guru honorer ( madrasah ) butuh kesejahteraan, rakyat Indonesia butuh kesehatan gratis demi masa depan agar lebih baik.",Negatif
19,2026-04-27,YouTube,MBG,Cerdas klu gak bekerja sebab gak ada lapangan pekerjaan juga percuma,Negatif
20,2026-04-27,YouTube,MBG,Mbg sdh bangkrut,Negatif
21,2026-04-27,YouTube,MBG,"61,5 jt.... Termasuk bebek, mentok dan ayam ya?",Negatif
